id1,id2,weight
A230,Chapter I,1
A230,A23,1
A230,Block A20-A28,1
A230,ICD10,1
A23,Chapter I,1
A23,Block A20-A28,1
A23,ICD10,1
A231,Chapter I,1
A231,A23,1
A231,Block A20-A28,1
A231,ICD10,1
A232,Chapter I,1
A232,A23,1
A232,Block A20-A28,1
A232,ICD10,1
A233,Chapter I,1
A233,A23,1
A233,Block A20-A28,1
A233,ICD10,1
A238,Chapter I,1
A238,A23,1
A238,Block A20-A28,1
A238,ICD10,1
A239,Chapter I,1
A239,A23,1
A239,Block A20-A28,1
A239,ICD10,1
A240,Chapter I,1
A240,ICD10,1
A240,Block A20-A28,1
A240,A24,1
A24,Chapter I,1
A24,Block A20-A28,1
A24,ICD10,1
A241,Chapter I,1
A241,ICD10,1
A241,Block A20-A28,1
A241,A24,1
A242,Chapter I,1
A242,ICD10,1
A242,Block A20-A28,1
A242,A24,1
A243,Chapter I,1
A243,ICD10,1
A243,Block A20-A28,1
A243,A24,1
A244,Chapter I,1
A244,ICD10,1
A244,Block A20-A28,1
A244,A24,1
A250,A25,1
A250,Chapter I,1
A250,Block A20-A28,1
A250,ICD10,1
A25,Chapter I,1
A25,Block A20-A28,1
A25,ICD10,1
A251,A25,1
A251,Chapter I,1
A251,Block A20-A28,1
A251,ICD10,1
A259,A25,1
A259,Chapter I,1
A259,Block A20-A28,1
A259,ICD10,1
A260,Chapter I,1
A260,ICD10,1
A260,Block A20-A28,1
A260,A26,1
A26,Chapter I,1
A26,Block A20-A28,1
A26,ICD10,1
A267,Chapter I,1
A267,ICD10,1
A267,Block A20-A28,1
A267,A26,1
A268,Chapter I,1
A268,ICD10,1
A268,Block A20-A28,1
A268,A26,1
A269,Chapter I,1
A269,ICD10,1
A269,Block A20-A28,1
A269,A26,1
A270,Chapter I,1
A270,ICD10,1
A270,Block A20-A28,1
A270,A27,1
A27,Chapter I,1
A27,Block A20-A28,1
A27,ICD10,1
A278,Chapter I,1
A278,ICD10,1
A278,Block A20-A28,1
A278,A27,1
A279,Chapter I,1
A279,ICD10,1
A279,Block A20-A28,1
A279,A27,1
A280,Chapter I,1
A280,ICD10,1
A280,A28,1
A280,Block A20-A28,1
A28,Chapter I,1
A28,Block A20-A28,1
A28,ICD10,1
A281,Chapter I,1
A281,ICD10,1
A281,A28,1
A281,Block A20-A28,1
A282,Chapter I,1
A282,ICD10,1
A282,A28,1
A282,Block A20-A28,1
A288,Chapter I,1
A288,ICD10,1
A288,A28,1
A288,Block A20-A28,1
A289,Chapter I,1
A289,ICD10,1
A289,A28,1
A289,Block A20-A28,1
A300,Block A30-A49,1
A300,Chapter I,1
A300,A30,1
A300,ICD10,1
A30,Block A30-A49,1
A30,Chapter I,1
A30,ICD10,1
Block A30-A49,Chapter I,1
Block A30-A49,ICD10,1
A301,Block A30-A49,1
A301,Chapter I,1
A301,A30,1
A301,ICD10,1
A302,Block A30-A49,1
A302,Chapter I,1
A302,A30,1
A302,ICD10,1
A303,Block A30-A49,1
A303,Chapter I,1
A303,A30,1
A303,ICD10,1
A304,Block A30-A49,1
A304,Chapter I,1
A304,A30,1
A304,ICD10,1
A305,Block A30-A49,1
A305,Chapter I,1
A305,A30,1
A305,ICD10,1
A308,Block A30-A49,1
A308,Chapter I,1
A308,A30,1
A308,ICD10,1
A309,Block A30-A49,1
A309,Chapter I,1
A309,A30,1
A309,ICD10,1
A310,A31,1
A310,Chapter I,1
A310,ICD10,1
A310,Block A30-A49,1
A31,Block A30-A49,1
A31,Chapter I,1
A31,ICD10,1
A311,A31,1
A311,Chapter I,1
A311,ICD10,1
A311,Block A30-A49,1
A318,A31,1
A318,Chapter I,1
A318,ICD10,1
A318,Block A30-A49,1
A319,A31,1
A319,Chapter I,1
A319,ICD10,1
A319,Block A30-A49,1
A320,Block A30-A49,1
A320,Chapter I,1
A320,ICD10,1
A320,A32,1
A32,Block A30-A49,1
A32,Chapter I,1
A32,ICD10,1
A321,Block A30-A49,1
A321,Chapter I,1
A321,ICD10,1
A321,A32,1
A327,Block A30-A49,1
A327,Chapter I,1
A327,ICD10,1
A327,A32,1
A328,Block A30-A49,1
A328,Chapter I,1
A328,ICD10,1
A328,A32,1
A329,Block A30-A49,1
A329,Chapter I,1
A329,ICD10,1
A329,A32,1
A33,Block A30-A49,1
A33,Chapter I,1
A33,ICD10,1
A34,Block A30-A49,1
A34,Chapter I,1
A34,ICD10,1
A35,Block A30-A49,1
A35,Chapter I,1
A35,ICD10,1
A360,Block A30-A49,1
A360,Chapter I,1
A360,ICD10,1
A360,A36,1
A36,Block A30-A49,1
A36,Chapter I,1
A36,ICD10,1
A361,Block A30-A49,1
A361,Chapter I,1
A361,ICD10,1
A361,A36,1
A362,Block A30-A49,1
A362,Chapter I,1
A362,ICD10,1
A362,A36,1
A363,Block A30-A49,1
A363,Chapter I,1
A363,ICD10,1
A363,A36,1
A368,Block A30-A49,1
A368,Chapter I,1
A368,ICD10,1
A368,A36,1
A369,Block A30-A49,1
A369,Chapter I,1
A369,ICD10,1
A369,A36,1
A370,Block A30-A49,1
A370,A37,1
A370,Chapter I,1
A370,ICD10,1
A37,Block A30-A49,1
A37,Chapter I,1
A37,ICD10,1
A371,Block A30-A49,1
A371,A37,1
A371,Chapter I,1
A371,ICD10,1
A378,Block A30-A49,1
A378,A37,1
A378,Chapter I,1
A378,ICD10,1
A379,Block A30-A49,1
A379,A37,1
A379,Chapter I,1
A379,ICD10,1
A38,Block A30-A49,1
A38,Chapter I,1
A38,ICD10,1
A390,Block A30-A49,1
A390,Chapter I,1
A390,ICD10,1
A390,A39,1
A39,Block A30-A49,1
A39,Chapter I,1
A39,ICD10,1
A391,Block A30-A49,1
